Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Smart-contract enabled decentralized knowledge fusion for blockchain-based conversation system,"Yang, WL; Garg, S; Bai, Q; Kang, B","Knowledge fusion can be used for global knowledge sharing and maintenance, and it has proven to benefit the performance of conversation systems. In the process of knowledge fusion in conversation systems, knowledge and contributions from multiple experts are easily tampered with, which results in biases in fusion results and their incentives. Blockchains promise tamper-proof, secure, and transparent systems. This study explores the feasibility and effectiveness of knowledge fusion based on blockchain by adopting a smart contract. First, a blockchain-based framework for decentralised knowledge fusion for a conversation system is presented. Second, a concrete scheme of blockchain-based decentralised knowledge fusion is designed and implemented with smart contracts to ensure security execution and fairness. Finally, a use case-based evaluation to prove the effectiveness of the proposed decentralised knowledge fusion method is presented.",2022,,EXPERT SYSTEMS WITH APPLICATIONS,203,,,WOS:000830187900001,10.1016/j.eswa.2022.117089,,#420,Yang 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Blockchain-Based Management for Organ Donation and Transplantation,"Hawashin, D; Jayaraman, R; Salah, K; Yaqoob, I; Simsekler, MCE; Ellahham, S","Today's organ donation and transplantation systems pose different requirements and challenges in terms of registration, donor-recipient matching, organ removal, organ delivery, and transplantation with legal, clinical, ethical, and technical constraints. Therefore, an end-to-end organ donation and transplantation system is required to guarantee a fair and efficient process to enhance patient experience and trust. In this paper, we propose a private Ethereum blockchain-based solution to enable organ donation and transplantation management in a manner that is fully decentralized, secure, traceable, auditable, private, and trustworthy. We develop smart contracts and present six algorithms along with their implementation, testing, and validation details. We evaluate the performance of the proposed solution by performing privacy, security, and confidentiality analyses as well as comparing our solution with the existing solutions. We make the smart contract code publicly available on Github.",2022,,IEEE ACCESS,10,,59013-59025,WOS:000809376500001,10.1109/ACCESS.2022.3180008,,#446,Hawashin 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Blockchain-Based Management of Blood Donation,"Hawashin, D; Mahboobeh, DAJ; Salah, K; Jayaraman, R; Yaqoob, I; Debe, M; Ellahham, S","Today's a large number of blood donation management systems fall short in providing traceability, immutability, transparency, audit, privacy, and security features. Also, they are vulnerable to the single point of failure problem due to centralization. In this paper, we propose a private Ethereum blockchain-based solution to automate blood donation management in a manner that is decentralized, transparent, traceable, auditable, private, secure, and trustworthy. The proposed solution stores non-critical and large data off-chain using the decentralized storage of the InterPlanetary File System (IPFS). We present the system architecture, sequence diagrams, entity-relationship diagram, and algorithms to briefly explain the working principles of our blood donation management solution. We evaluate the performance of our solution in terms of efficiency and effectiveness through performing security analysis. We make our smart contract code publicly available on Github.",2021,,IEEE ACCESS,9,,163016-163032,WOS:000731140500001,10.1109/ACCESS.2021.3133953,,#450,Hawashin 2021,"Exclusion reason: Papers that discuss smart contracts in general, without specific focus on contract conversion or data-driven techniques; ",""
A novel privacy protection of permissioned blockchains with conditionally anonymous ring signature,"Zhang, XW; Ye, CJ","With the rapid development of permissioned blockchains, the problem of privacy leakage within permissioned blockchains is increasingly serious. In this paper, for the privacy problem in permissioned blockchains, a novel privacy protection method has been put forward. In this novel method, the ring signature is used to protect the privacy of the user in permissioned blockchains. On the other hand, the unconditional anonymity of ring signature may be abused maliciously by the adversary. Conditional anonymity is considered to improve the ring signature. Therefore, based on conditionally anonymous ring signature, permissioned blockchains privacy protection scheme has also been laid down. Furthermore, the effects of smart contract for transaction flows are considered. The asynchronous signing transaction process is proposed. The security of the scheme has been formally reduced to the Discrete Logarithm assumption. The comparison with the state-of-the-art and simulation experiment have also demonstrated that the proposed scheme is efficient and practical.",2022,,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,25,2,1221-1235,WOS:000741616500002,10.1007/s10586-021-03529-4,,#485,Zhang 2022,Exclusion reason: Framework Not Provided; ,""
A Blockchain Architecture for Trusted Sub-Ledger Operations and Financial Audit Using Decentralized Microservices,"Fikri, N; Rida, M; Abghour, N; Moussaid, K; El Omri, A; Myara, M","Blockchain has become an unavoidable future in enterprise finance, particularly enabling and securing cross-company transactions. By introducing a comparable notion of smart contract, the trusted sub-ledger operation (TSLO), this article will propose a complete architecture based on the Blockchain to solve the traceability and validity of accounting data by assets groupement. TSLO is a more flexible and adaptable method for asset management in the corporate accounting system and the enterprise resource planner. This method is built on a decentralized microservices tree (DMST) and is an extendable E-Bidding form of TEA (Triple Entry Accounting). Instead of using a multi-ledger architecture, the Hyperledger Fabric skeleton, limited to participant channels inside one entity or organization, our approach uses decentralized sub-ledgers with an implementation tree (DMST) for an assets-driven transactions. Furthermore, the government's audit and taxation procedures for financial groups are more accessible by combining Proof of Authority and Proof of Stake to assure the logic of More stake more reputation to preserve.",2022,,IEEE ACCESS,10,,90873-90886,WOS:000852487200001,10.1109/ACCESS.2022.3201885,,#490,Fikri 2022,Exclusion reason: Framework Not Provided; ,""
Development and Implementation of Block chain Based Transactions in the Real-Estate Industry,"Tomar, V; Dhania, U; Yadav, R; Sharma, VK; Kumar, V","India is growing with digital money, in just 3-year digital transitions have grown manyfold. Digital transactions require a high standard of security and conformity for successful transactions. Blockchain and cryptocurrency get immense popularity in the last 10 years especially in financial sectors though 1980 was the year of birth of digital money and blockchain However, with the introduction of smart contract-based trading new field of scope emerges. Best usage of blockchain technology in land administration, especially technology for clarity in underdeveloped nations and a method of combating corruption. The goal of this project is to develop a secure digital backbone by using blockchain to replicate the processes of purchasing and selling residential real-estate businesses. The majority of the activities of purchasing, selling, and renting property are handled by third-party real-estate agents. As a result, the parties participating in the transaction must be confident (buyers, sellers, landlords & tenants).",2022,,INTERNATIONAL JOURNAL OF EARLY CHILDHOOD SPECIAL EDUCATION,14,2,4533-4541,WOS:000806020400027,10.9756/INT-JECSE/V14I2.501,,#494,Tomar 2022,Exclusion reason: Studies that do not present any data-driven techniques for converting contracts or documents to smart contracts; ,""
A Blockchain-Based Secure Radio Frequency Identification Ownership Transfer Protocol,"Vijayalakshmi, M; Shalinie, SM; Yang, MH; Lai, SC; Luo, JN","Supply chain management (SCM) governance is the streamline of the IoT product life cycle from its production to delivery. Integrating blockchain with supply chain management is essential to ensure end-to-end tracking, trustiness between manufacturers and customers, fraud and counterfeit elimination, and customizing administrative costs and paperwork. This paper proposes an RFID ownership transfer protocol with the help of zk-SNARKs (Zero Knowledge-Succinct Noninteractive Arguments of Knowledge) using Ethereum blockchain. When the owner performs RFID transfer, the transferred information will be recorded on the blockchain using smart contracts. When using a smart contract to transfer ownership on the Ethereum blockchain, because the content on the blockchain will not be tampered with, all accounts in the Ethereum can view the transfer results and verify them. The privacy of the supply chain is attained by generating the proof of product code via zk-SNARKs algorithm. This algorithm also enhances the scalability of the supply chain system by creating a trusted setup in off-chain mode.",2022,,SECURITY AND COMMUNICATION NETWORKS,2022,,,WOS:000788046200003,10.1155/2022/9377818,,#508,Vijayalakshmi 2022,Exclusion reason: Methods/inputs/outputs not provided; ,""
Automatic Smart Contract generation for Internet of Media Things,"Allouche, M; Mitrea, M; Moreaux, A; Kim, SK","Formally known as ISO/IEC 23093, Internet of Media Things (IoMT) is an emerging paradigm ensuring interoperability among media -centric applications and services designed and deployed for the interpretation, representation or analysis of multimedia content collected by media devices such as cameras or microphones. Under this framework, the present paper establishes the proof of concept for the automation of IoMT specified Smart Contract generation. The advanced modus operandi enables media devices and their content to be seamlessly protected against payment counterfeiting, malicious control, access, interception and/or redirection. To this aim, a comprehensive architectural and experimental framework is conceived, designed, and demonstrated. While the methodological approach is blockchain agnostic, the experimental results are obtained on a 3-node, EEA (Enterprise Ethereum Alliance)-compliant private blockchain. (C) 2021 The Korean Institute of Communications and Information Sciences (KICS). Publishing services by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",2021,,ICT EXPRESS,7,3,274-277,WOS:000700585500002,10.1016/j.icte.2021.08.009,,#513,Allouche 2021,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
A blockchain-based trading system for big data,"Hu, DH; Li, YF; Pan, LX; Li, M; Zheng, SL","Data are an extremely important asset. Governments around the world encourage big data sharing and trading to promote the big data economy. However, existing data trading platforms are not fully trusted. Such platforms face the problems of a single point of failure (SPOF), opaque transactions, uncontrollability, untraceability, and issues of data privacy. Several blockchain-based big data trading methods have been proposed; however, they do not adequately address the security issues introduced by dishonesty in the data provider and data agent or the fairness of data revenue distribution and price bargaining. In this paper, we propose a blockchainbased decentralized data trading system in which data trading is completed by smart contract-based data matching, price negotiation, and reward assigning. Moreover, the proposed data trading system evaluates the data quality on the basis of three metrics, records the evaluation results in a side-chain, and distributes the data users' application revenue to the data provider according to the evaluated data quality. We verify the security, usability, and efficiency of the proposed big data trading system.",2021,,COMPUTER NETWORKS,191,,,WOS:000677537700010,10.1016/j.comnet.2021.107994,,#536,Hu 2021,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
A Permissioned Blockchain-Based Clinical Trial Service Platform to Improve Trial Data Transparency,"Hang, L; Kim, B; Kim, K; Kim, D","The clinical research faces numerous challenges, from patient enrollment to data privacy concerns and regulatory requirements to spiraling costs. Blockchain technology has the potential to overcome these challenges, thus making clinical trials transparent and enhancing public trust in a fair and open process with all stakeholders because of its distinct features such as data immutability and transparency. This paper proposes a permissioned blockchain platform to ensure clinical data transparency and provides secure clinical trial-related solutions. We explore the core functionalities of blockchain applied to clinical trials and illustrate its general principle concretely. These clinical trial operations are automated using the smart contract, which ensures traceability, prevents a posteriori reconstruction, and securely automates the clinical trial. A web-based user interface is also implemented to visualize the data from the blockchain and ease the interaction with the blockchain network. A proof of concept is implemented on Hyperledger Fabric in the case study of clinical management for multiple clinical trials to demonstrate the designed approach's feasibility. Lastly, the experiment results demonstrate the efficiency and usability of the proposed platform.",2021,,BIOMED RESEARCH INTERNATIONAL,2021,,,WOS:000684340400002,10.1155/2021/5554487,,#560,Hang 2021,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
A patent registration and trading system based on blockchain,"Hu, J; Zhu, P; Qi, Y; Zhu, QY; Li, XT","The traditional process of patent registration and trading is very complex, often hindered by challenges related to information security and patent traceability. As a popular emergent technology, blockchain has several useful characteristics such as tamper proof, distributed data management, timestamp, asymmetric encryption, and smart contract. Built upon these characteristics, this paper develops a patent registration and trading system for improved information security, immutability, transparency, and traceability. This system includes functions of patent registration and storage, patent trading, user privacy protection during patent registration and trading process, and overall data access control. To validate the applicability of the proposed system, this paper builds a blockchain environment to simulate a patent registration and trading process. We further conduct a security analysis and an efficiency analysis to compare the proposed patent registration and trading process with the traditional process. Through these comparisons we show that the proposed blockchain-aided patent registration and trading system is effective in resolving several key patent protection challenges. Theoretical and managerial implications are also discussed to highlight the significance of our proposed method.",2022,,EXPERT SYSTEMS WITH APPLICATIONS,201,,,WOS:000798671300002,10.1016/j.eswa.2022.117094,,#563,Hu 2022,Exclusion reason: Studies that do not present any data-driven techniques for converting contracts or documents to smart contracts; ,""
Decentralized Personal Data Marketplaces: How Participation in a DAO Can Support the Production of Citizen-Generated Data,"Zichichi, M; Ferretti, S; Rodriguez-Doncel, V","Big Tech companies operating in a data-driven economy offer services that rely on their users' personal data and usually store this personal information in ""data silos"" that prevent transparency about their use and opportunities for data sharing for public interest. In this paper, we present a solution that promotes the development of decentralized personal data marketplaces, exploiting the use of Distributed Ledger Technologies (DLTs), Decentralized File Storages (DFS) and smart contracts for storing personal data and managing access control in a decentralized way. Moreover, we focus on the issue of a lack of efficient decentralized mechanisms in DLTs and DFSs for querying a certain type of data. For this reason, we propose the use of a hypercube-structured Distributed Hash Table (DHT) on top of DLTs, organized for efficient processing of multiple keyword-based queries on the ledger data. We test our approach with the implementation of a use case regarding the creation of citizen-generated data based on direct participation and the involvement of a Decentralized Autonomous Organization (DAO). The performance evaluation demonstrates the viability of our approach for decentralized data searches, distributed authorization mechanisms and smart contract exploitation.",2022,,SENSORS,22,16,,WOS:000846649900001,10.3390/s22166260,,#617,Zichichi 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
A customer satisfaction centric food delivery system based on blockchain and smart contract,"Talukder, AAT; Mahmud, MAI; Sultana, A; Pranto, TH; Haque, AKMB; Rahman, RM","Food delivery systems are gaining popularity recently due to the expansion of internet connectivity and for the increasing availability of devices. The growing popularity of such systems has raised concerns regarding (i) Information security, (ii) Business to business (B2B) deep discounting race, and (iii) Strict policy enforcement. Sensitive personal data and financial information of the users must be safeguarded. Additionally, in pursuit of gaining profit, the restaurants tend to offer deep discounts resulting in a higher volume of orders than usual. Therefore, the restaurants and the delivery persons fail to maintain the delivery time and often impair the food quality. In this paper, we have proposed a blockchain and smart contract-based food delivery system to address these issues. The main goal is to remove commission schemes and decrease service delays caused by a high volume of orders. The protocols have been deployed and tested on the Ethereum test network. The simulation manifests a successful implementation of our desired system; with the payment being controlled by our system. The actors (restaurant, delivery-person or consumer) are bound to be compliant with the policies or penalized otherwise.",2022,,JOURNAL OF INFORMATION AND TELECOMMUNICATION,6,4,501-524,WOS:000852196800001,10.1080/24751839.2022.2117121,,#632,Talukder 2022,Exclusion reason: Framework Not Provided; ,""
A machine learning and blockchain based secure and cost-effective framework for minor medical consultations,"Hassija, V; Ratnakumar, R; Chamola, V; Agarwal, S; Mehra, A; Kanhere, SS; Binh, HTT","With the ever-increasing awareness among people regarding their health, visiting a doctor has become quite common. However, with the onset of the COVID-19 pandemic, home-based consultations are gaining popularity. Nevertheless, the worries over privacy and the lack of willingness to assist patients by the medical professionals in the online consultation process have made current models ineffective. In this paper, we present an advanced protected blockchain-based consultation model for minor medical conditions. Our model not only ensures users' privacy but by incorporating a calculation model, it also offers an opportunity for consulting end-users to voluntarily take part in the consultation process. Our work proposes a smart contract based on machine learning to be implemented for the prediction of a score of a professional who consults based on various prioritized parameters. This is done by using word2vec and TF-IDF weighting to classify the question and cosine similarity scores for detailed orientation analysis. Based on this score, the patient is charged, and simultaneously, the responder is awarded ether. An incentivized method leads to more accessible healthcare while reducing the cost itself.",2022,,SUSTAINABLE COMPUTING-INFORMATICS & SYSTEMS,35,,,WOS:000820259900001,10.1016/j.suscom.2021.100651,,#637,Hassija 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Supply chain financing scheme based on blockchain technology from a business application perspective,"Tsai, CH","Supply chain finance (SCF) essentially provides a flexible cash flow solution that maximizes the working capital situation for the main stakeholders in the supply chain. Buyers benefit from longer payment terms and reduced working capital requirements, suppliers have early and accelerated cash flow, and financial intermediaries obtain revenue by providing business finance. However, current SCF platforms have some opaque factors, such as information asymmetry that results in delayed payments to suppliers; this is particularly harmful to small and medium-sized enterprises. Cybersecurity risks (e.g., fraudulent invoices, duplicate transactions, and double-spending payments) have also been increasing rapidly and continue to threaten technology-reliant SCF platforms. Blockchain technology is a disruptive innovation that provides security benefits for business parties because of characteristics such as decentralization, transparency, and immutability; these elements enable SCF platforms to increase transparency and trust and decrease the potential of transaction manipulation among participants. This paper proposes a blockchain-enabled alternative SCF model to address current challenges in supply chain financing processes. By adopting the underlying techniques of blockchain technology through an ancillary decentralized application and smart contract, the proposed scheme can provide the buyers, suppliers, and financial institutions in the SCF ecosystem with efficient, transparent, and secure financing services.",,,ANNALS OF OPERATIONS RESEARCH,,,,WOS:000878969900001,10.1007/s10479-022-05033-3,,#694,,Exclusion reason: Framework Not Provided; ,""
Smart contract based digital evidence management framework over blockchain for vehicle accident investigation in IoV era,"Philip, AO; Saravanaguru, RAK",Digital collection and maintenance of evidence corresponding to an accident is of utmost relevance as vehicles become connected and part of Internet of things ecosystem. A conceptual evidence management framework is proposed examining the future of accident investigation forensics in the era of connected vehicles. The framework discusses how evidence generated from vehicles involved in incident along with supporting evidence from nearby vehicles CCTVs and road users can be collected and managed over blockchain using smart contracts in a vehicle to everything connected environment. The management of evidence over blockchain serves as an immutable and auditable means to investigate and settle cases post an accident among the stakeholders. Dynamic access control over evidence data and reports based on location of incident and vehicle involved is implemented with the help of smart contracts. The cost of deploying and carrying out transactions using the smart contracts is evaluated over both public and private Ethereum blockchain. Mechanism and cost involved in storing evidence on chain versus off chain using Inter Planetary File System in most optimised manner saving memory and execution cost is compared and presented. The smart contract codes are deployed on Rinkeby test network and can be accessed using address mentioned.,2022,,JOURNAL OF KING SAUD UNIVERSITY-COMPUTER AND INFORMATION SCIENCES,34,7,4031-4046,WOS:000827405000012,10.1016/j.jksuci.2022.06.001,,#707,Philip 2022,Exclusion reason: Framework Not Provided; ,""
On-chain behavior prediction Machine Learning model for blockchain-based crowdsourcing,"Kadadha, M; Otrok, H; Mizouni, R; Singh, S; Ouali, A","In this paper, we address the problem of behavior prediction for task allocation in blockchain-based crowdsourcing framework. Centralized crowdsourcing frameworks complement workers' reputations with predicted behavior, through Machine Learning (ML) models, to improve the task allocation performance and maintain worker engagement. Existing blockchain-based crowdsourcing frameworks allocate tasks to workers using reputation solely, which neglects the impact of a task's context on the worker's behavior. Our contribution is an on-chain behavior prediction ML model for task allocation on top of a proposed blockchain-based crowdsourcing framework. The ML model, hosted on blockchain, reflects a worker's unique behavior for a task given its context. The proposed ML model is: (1) trained off-chain since it has lower monetary cost compared to on-chain training, and (2) deployed on-chain as a smart contract to enable transparent predictions. The task allocation mechanism in the proposed blockchain-based crowdsourcing framework considers workers' predicted behavior and a Quality of Information (QoI) metric that includes distance to the task, completion time, and workers' reputation. The evaluation conducted confirms that the proposed task allocation mechanism, implemented using Solidity, outperforms the benchmark in terms of percentage of allocation, workers' QoI, and reputation change. (C) 2022 Elsevier B.V. All rights reserved.",2022,,FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,136,,170-181,WOS:000890487100011,10.1016/j.future.2022.05.025,,#716,Kadadha 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
SBRAC: Blockchain-based sealed-bid auction with bidding price privacy and public verifiability,"Chen, BW; Li, X; Xiang, T; Wang, P","Electronic auction (e-auction) has become one of the most popular approaches to allocate resources or services in contemporary society because of removing physical limitations of traditional auctions. The rapid expansion of e-auction enhances work efficiency but incurs some new and distinctive challenges such as low-robustness, data privacy, and lack of trust. To address the above concerns, various auction designs have been proposed by researchers from the academic and industrial circles. However, most of them fail in simultaneously achieving decentralization (i.e. auctioneer-free), privacy-preserving (i.e. bids privacy), collusion-resistance, and secure channel free. In this paper, we present an effective smart contract-based verifiable privacy-preserving sealed-bid reverse auction scheme, which not only has no need for trusted third parties, but also achieves robustness and privacy protection of losing bids even in the face of overwhelming collusion. In this scheme, the central auctioneer is replaced with some carefully designed smart contracts for decentralization, while zero-knowledge proof and anonymous veto networks are used to avoid the secret communication channel, support the public verifiability and detect the malicious behaviors of bidders. More practically, the complexity of the designed scheme is independent of the number of bidders. Finally, we implement a prototype of our design based on a locally simulated Ethereum test network. The extensive experimental results demonstrate the scheme is the high efficiency and practicality.",2022,,JOURNAL OF INFORMATION SECURITY AND APPLICATIONS,65,,,WOS:000783263100008,10.1016/j.jisa.2021.103082,,#743,Chen 2022,Exclusion reason: Studies that do not present any data-driven techniques for converting contracts or documents to smart contracts; ,""
BFS: A blockchain-based financing scheme for logistics company in supply chain finance,"Fu, J; Cao, BC; Wang, XL; Zeng, PJ; Liang, W; Liu, YZ","Against the backdrop of the booming supply chain finance and logistics industry, Logistics 4.0 has emerged. However, the financing capacity of today's logistics companies is still unable to respond to the needs of the rapid development of the supply chain. On the one hand, the problem of logistics companies' lack of existing high-value collateral in supply chain finance has led to a clutter of their credit data and difficulty in verifying their creditworthiness. On the other hand, the massive access to logistics companies' business information can also lead to privacy leaks. At the same time, the transparency feature of blockchain is used to solve the financing dilemma of many industries in supply chain finance. On this basis, we propose a blockchain-based financing scheme (BFS) for logistics company. BFS utilises more efficient and interpretative smart contract technology, as well as improved privacy information query and invocation algorithms, to realise automatic control of entity node privacy information flow and significantly simplifying the steps and lowering the thresholds to financing for logistics companies, while protecting the privacy of their data. After extensive simulation testing, BFS can run supply chain blocks at a stable transaction throughput of around 280 RPS, with data transfers that meet the financing needs of logistics companies, providing a higher and more stable performance than the native Hyperledger Fabric.",2022,,CONNECTION SCIENCE,34,1,1929-1955,WOS:000813980700001,10.1080/09540091.2022.2088698,,#755,Fu 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Blockchain-oriented Inter-organizational Collaboration between Healthcare Providers to Handle the COVID-19 Process,"El Kassmi, I; Jarir, Z","Collaborative business activities have aroused great interest from organizations because of the benefits they offer. However, sharing data, services, and resources and exposing them to external use can prevent organizations involved in collaboration from being engaged. Therefore, the need for advanced mechanisms to ensure trust between the different parties involved is paramount. In this context, blockchain and smart contracts are promising solutions for performing choreography processes. However, the seamless integration of these technologies as non-functional requirements in the design and implementation phases of inter-organizational collaborative activities is a challenging task, as reported in the literature. Consequently, we aim in the proposed approach to extend the modeling and implementation of the choreography lifecycle based on service-oriented processes. This is fulfilled by integrating blockchain transactions and smart contract calls, to allow collaboration and interoperability between different entities while guaranteeing trust and auditability. Moreover, to conduct this extension efficiently we use a BPMN choreography diagram combined with Finite State Automata to ensure a meticulous modeling which targets the processes' internal interactions. Hyperledger Fabric is used as a permissioned blockchain for proof-of-concept implementation. A use case of COVID-19 collaborative processes is used to experiment our approach, which aims to guarantee a fluid collaboration between healthcare providers and epidemiological entities at a national scale in Morocco.",2021,,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,12,12,762-780,WOS:000738710600094,,,#781,ElKassmi 2021,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Blockchain-Based Processing of Health Insurance Claims for Prescription Drugs,"Alnuaimi, A; Alshehhi, A; Salah, K; Jayaraman, R; Omar, IA; Battah, A","The current legacy system used in processing health insurance claims causes a huge amount of financial loss every year due to fraud claims. It is also highly prone to privacy and security threats due to the use of traditional methods. Health insurance claims for prescription drugs are one such claim that is highly prone to being tampered with. Also, there is a lack of linkage in the prescription data between the medical care provider and the pharmacy, which also leads to miscommunication and the use of false prescriptions. In this paper, we propose processing health insurance claims for drug prescriptions using blockchain technology that manages the processing of prescription drugs in a private, secure, trustworthy, and decentralized manner. The proposed system utilizes a private Ethereum blockchain. The system includes two smart contracts: registration and approval smart contracts, which provide traceability and trustworthiness to the system. The system was integrated with off-chain storage (IPFS) and a fronted decentralized applications (DApps), which improves the accessibility of centralized patient information by authorized parties. To maintain the privacy of the data, a gateway is used to filter the data that can be viewed by the participants. We present the system architecture, sequence diagrams, entity-relationship diagram, and algorithms to demonstrate the working principles of the proposed process for processing health insurance claims for prescription drugs using blockchain. The performance of the proposed solution is evaluated by conducting security analysis and comparing it to the existing solutions. Our smart contract code is publicly available on GitHub.",2022,,IEEE ACCESS,10,,118093-118107,WOS:000886165400001,10.1109/ACCESS.2022.3219837,,#852,Alnuaimi 2022,Exclusion reason: Articles that focus solely on legal or regulatory aspects of contract management; ,""
Automatic smart contract generation using controlled natural language and template,"Tateishi, T; Yoshihama, S; Sato, N; Saito, S","Smart contracts, which are widely recognized as key components of blockchain technology, enable automatic execution of agreements. Since each smart contract is a computer program that autonomously runs on a blockchain platform, their development requires much effort and care compared with the development of more common programs. In this paper, we propose a technique to automatically generate a smart contract from a human-understandable contract document that is created using a document template and a controlled natural language (CNL). The automation is based on a mapping from the document template and the CNL to a formal model that can define the terms and conditions in a contract including temporal constraints and procedures. The formal model is then translated into an executable smart contract. We implemented a toolchain that generates smart contracts of Hyperledger Fabric from template-based contract documents via a formal model. We then evaluated the feasibility of our approach through case studies of two types of real-world contracts in different domains.",2019,,IBM JOURNAL OF RESEARCH AND DEVELOPMENT,63,2-3,,WOS:000482784800007,10.1147/JRD.2019.2900643,,#929,Tateishi 2019,Exclusion reason: Methods/inputs/outputs not provided; ,""
Analyzing smart contract interactions and contract level state consensus,"Hu, YC; Lee, TT; Chatzopoulos, D; Hui, P","Although the primary function of distributed ledgers is to store data related to users' interactions, their capabilities allow them to offer more sophisticated functionalities. Advances in blockchain technologies introduced smart contracts, software programs that define immutable rules as functions stored on the blockchain and can be executed on demand. Smart contracts can interact not only with users but also with each other via message exchange. We compare existing smart contract interactions, and develop an architecture for asynchronous state consensus, a novel type of smart contract interaction required in applications but had rarely been addressed. The proposed architecture is composed of two types of smart contracts, ie, Custodian and Client. Client smart contracts serve as network participants reaching a particular consensus collectively by forming a cluster and issuing votes towards a final state agreement. Custodian smart contracts serve as the arbiters that aggregate and calculate voting results as the finalized state consensus that is shared across the network. To test the feasibility of our proposal, we conduct experiments on the consensus reaching latency and the scalability under different network configurations with standardized Amazon Web Service instances. Lastly, we discuss the robustness our proposal concerning Byzantine Fault tolerance and list possible applications. In the gaming industry, an ERC721 smart contract does not allow contrasting structural features between individual tokens, yet only minor value-level differences. The proposed solution can address the need for character diversity that characters can be created and attached to a gaming smart contract after deployment, which enables fine distinction between characters. The proposal can also achieve sharing states across smart contracts, such as the jackpot, which renovates the flexibility of blockchain gaming.",2020,,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,32,12,,WOS:000529224600003,10.1002/cpe.5228,,#931,Hu 2020,Exclusion reason: Framework Not Provided; ,""
MDA-Based Approach for Blockchain Smart Contract Development,"Jurgelaitis, M; Ceponiene, L; Butkus, K; Butkiene, R; Drungilas, V","Blockchain smart contracts can support the decentralisation of business processes, but due to smart contracts' specifics, their development is a complicated process. Introducing model-driven development principles in smart contract development can facilitate requirement specification, design, and implementation activities. This paper presents a model-driven development method MDAsmartCD (Model-Driven Architecture-based Smart Contract Development) to alleviate smart contract development by supporting the complete MDA life cycle, covering the definition of Computation-Independent Model, Platform-Independent Model, and two instances of Platform-Specific Models. In MDAsmartCD, model transformations (model-to-model and model-to-text) are used to produce smart contract code in the Hyperledger Fabric platform Go and the Ethereum platform Solidity programming languages. The method application was demonstrated by implementing the smart contract for the hackathon solution and executing the generated Solidity and Go smart contracts in the workflow of issuing certificates for hackathon participants. During the execution of the workflow, both deployed smart contracts behaved identically and recorded analogous results in respective blockchain data storages. This demonstrated that the MDAsmartCD method enables the generation of compilable and executable smart contract code, ready for deployment on a blockchain platform.",2023,,APPLIED SCIENCES-BASEL,13,1,,WOS:000908708400001,10.3390/app13010487,,#941,Jurgelaitis 2023,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Model-Based Software Design and Testing in Blockchain Smart Contracts: A Systematic Literature Review,"Sanchez-Gomez, N; Torres-Valderrama, J; Garcia-Garcia, JA; Gutierrez, JJ; Escalona, MJ","Blockchain technology promises to spark a real revolution. One of most important concepts associated with this technology is smart contracts, which enable the automatic execution of agreements and augur a world without intermediaries. The conditions and rules of ""contracts"" are established in a computer codes and trust is enforced by consensus among the participants. One relevant feature associated with smart contract is the immutability property, which establishes the non-alteration of blockchain network data after the clauses of the contract are been approved by all parties or entities involved. For this reason, smart contract development requires more effort and care than the development of other common programs. They require systematic mechanisms to collect requirements and functional specifications. In addition, it is necessary to verify and validate the agreed functionality and the implemented code before they are deployed in the blockchain platform. This article presents a systematic literature review of primary studies in the field of Software Development Life Cycle, focusing on model-based software design and testing in the blockchain domain of smart contracts. This research aims to identify gaps and/or opportunities for further research. After carried out this review, it was observed that no clear methodology exists for evaluating and validating the quality either of this software or the overall development process. This means that software developers may implement smart contract code in which bugs and serious security vulnerabilities appear when the software is delivered to their customers.",2020,,IEEE ACCESS,8,,164556-164569,WOS:000572898700001,10.1109/ACCESS.2020.3021502,,#949,Sanchez-Gomez 2020,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
